Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,136559,136598,136701,137270,136630,136940,136531,136662,136893,137088,137322,137614
2001,137778,137612,137783,137299,137092,136873,137071,136241,136846,136392,136238,136047
2002,135701,136438,136177,136126,136539,136415,136413,136705,137302,137008,136521,136426
2003,137417,137482,137434,137633,137544,137790,137474,137549,137609,137984,138424,138411
2004,138472,138542,138453,138680,138852,139174,139556,139573,139487,139732,140231,140125
2005,140245,140385,140654,141254,141609,141714,142026,142434,142401,142548,142499,142752
2006,143150,143457,143741,143761,144089,144353,144202,144625,144815,145314,145534,145970
2007,146028,146057,146320,145586,145903,146063,145905,145682,146244,145946,146595,146273
2008,146378,146156,146086,146132,145908,145737,145532,145203,145076,144802,144100,143369
2009,142152,141640,140707,140656,140248,140009,139901,139492,138818,138432,138659,138013
2010,138438,138581,138751,139297,139241,139141,139179,139438,139396,139119,139044,139301
2011,139250,139394,139639,139586,139624,139384,139524,139942,140183,140368,140826,140902
2012,141584,141858,142036,141899,142206,142391,142292,142291,143044,143431,143333,143330
2013,143292,143362,143316,143635,143882,143999,144264,144326,144418,143537,144479,144778
2014,145150,145134,145648,145667,145825,146247,146399,146530,146778,147427,147404,147615
2015,148145,148045,148128,148511,148817,148816,148830,149181,148826,149246,149463,150128
2016,150653,150939,151218,151074,151132,151223,151554,151779,151761,151793,151954,152157
2017,152152,152480,153065,153255,153069,153318,153569,153503,154286,153609,153805,153904
2018,154493,155259,155303,155362,155694,155734,156115,155512,155970,156294,156606,156767
2019,156614,156992,156869,156744,156868,157123,157488,157780,158249,158356,158504,158772
2020,158653,158866,155599,133320,137182,142218,143727,147176,147569,149719,149761,149883
2021,150004,150367,150940,151259,151550,151612,152704,153167,153806,154234,155324,155975
2022,157174,157722,158458,158105,158426,158111,158290,158732,,,,
