Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,5708,5858,5733,5481,5758,5651,5747,5853,5625,5534,5639,5634
2001,6023,6089,6141,6271,6226,6484,6583,7042,7142,7694,8003,8258
2002,8182,8215,8304,8599,8399,8393,8390,8304,8251,8307,8520,8640
2003,8520,8618,8588,8842,8957,9266,9011,8896,8921,8732,8576,8317
2004,8370,8167,8491,8170,8212,8286,8136,7990,7927,8061,7932,7934
2005,7784,7980,7737,7672,7651,7524,7406,7345,7553,7453,7566,7279
2006,7064,7184,7072,7120,6980,7001,7175,7091,6847,6727,6872,6762
2007,7116,6927,6731,6850,6766,6979,7149,7067,7170,7237,7240,7645
2008,7685,7497,7822,7637,8395,8575,8937,9438,9494,10074,10538,11286
2009,12058,12898,13426,13853,14499,14707,14601,14814,15009,15352,15219,15098
2010,15046,15113,15202,15325,14849,14474,14512,14648,14579,14516,15081,14348
2011,14013,13820,13737,13957,13855,13962,13763,13818,13948,13594,13302,13093
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7468,7379,7073,7089,7000,6873,6892,7082,6854,6700,6774,6632
2018,6505,6586,6457,6448,6188,6446,6173,6167,6065,6230,6132,6379
2019,6458,6122,6166,5898,5935,5906,5984,5993,5766,5980,5930,5861
2020,5826,5717,7165,23038,20940,17616,16288,13532,12584,11115,10777,10789
2021,10180,9992,9691,9719,9251,9502,8671,8339,7666,7375,6802,6319
2022,6513,6270,5952,5941,5950,5912,5670,6014,,,,
