Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,130.8,132.2,132.9,132.6,133.1,134.2,133.9,133.5,134.7,134.9,134.9,134.3
2001,134.8,134.8,134.5,135.6,136.5,135.8,134.4,134.6,135.6,133.7,132.7,131.6
2002,131.7,132.0,132.8,133.8,133.5,133.6,133.6,133.7,135.0,135.6,134.6,134.0
2003,135.7,137.6,138.7,136.3,135.8,136.3,136.4,137.0,137.1,138.2,137.7,137.7
2004,138.9,139.3,140.3,141.8,143.3,142.9,143.2,143.7,144.2,146.5,146.1,145.0
2005,146.2,147.0,148.9,149.6,149.4,149.6,151.0,151.8,154.2,156.6,152.7,152.8
2006,154.1,153.5,155.0,157.2,158.5,159.5,159.4,159.8,156.8,155.9,156.4,156.9
2007,156.4,157.7,160.1,162.2,163.8,163.7,164.9,163.0,163.7,164.5,168.0,166.9
2008,168.5,169.6,173.4,175.3,179.4,182.0,185.6,182.6,182.9,176.8,169.4,164.1
2009,164.7,163.9,162.9,164.2,165.8,168.4,167.1,169.4,168.6,168.9,170.7,170.8
2010,173.1,172.2,173.9,175.2,176.1,174.8,174.7,175.3,175.5,177.3,178.2,179.1
2011,181.1,183.3,187.3,190.2,191.9,191.1,191.7,190.7,191.5,190.2,190.6,189.6
2012,191.1,192.1,194.3,194.7,193.6,191.7,191.2,193.5,195.4,195.1,192.6,191.8
2013,192.6,195.2,194.5,194.0,194.0,193.9,194.0,194.6,194.3,193.7,192.7,193.2
2014,194.2,195.2,196.2,197.5,197.2,197.2,197.4,197.4,196.8,194.8,192.7,189.1
2015,185.0,185.4,186.2,185.7,188.2,188.9,188.5,187.0,184.3,183.7,182.9,180.8
2016,179.7,178.7,179.3,180.5,181.9,183.6,183.4,182.5,183.0,183.7,183.2,183.9
2017,185.6,186.2,186.7,187.6,187.3,187.6,187.3,188.4,189.6,190.2,191.2,191.3
2018,192.6,193.5,194.0,195.3,197.7,198.4,198.5,198.6,198.9,200.4,198.4,195.2
2019,194.3,195.4,197.4,199.2,199.1,197.0,197.5,196.4,195.9,196.6,196.5,196.4
2020,196.6,195.1,192.3,186.1,188.9,190.2,192.3,193.0,192.9,193.7,194.5,196.7
2021,199.6,203.1,207.9,210.1,215.1,217.9,219.492,220.114,221.869,225.478,227.109,226.470
2022,231.495,237.245,245.404,249.827,256.579,262.828,257.551,,,,,
