"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2022","1,134.17","1,104.14","1,150.35","1,104.14","313.24M","3.95%"
"10/09/2022","1,091.05","1,096.99","1,129.13","1,080.12","288.43M","-0.25%"
"10/02/2022","1,093.73","1,074.45","1,134.82","1,069.33","1.76B","2.70%"
"09/25/2022","1,064.95","1,077.64","1,101.41","1,057.91","1.91B","-1.48%"
"09/18/2022","1,080.92","1,138.17","1,160.02","1,067.25","1.61B","-5.59%"
"09/11/2022","1,144.98","1,197.99","1,209.57","1,128.66","2.10B","-4.08%"
"09/04/2022","1,193.69","1,163.76","1,195.60","1,140.85","1.37B","2.74%"
"08/28/2022","1,161.88","1,219.10","1,223.47","1,156.17","1.79B","-5.19%"
"08/21/2022","1,225.50","1,258.84","1,266.53","1,224.25","1.57B","-3.36%"
"08/14/2022","1,268.17","1,280.33","1,303.48","1,263.94","2.49B","-1.52%"
"08/07/2022","1,287.80","1,241.25","1,287.80","1,224.07","2.03B","3.91%"
"07/31/2022","1,239.40","1,235.09","1,250.03","1,221.74","1.79B","-0.05%"
"07/24/2022","1,239.96","1,187.50","1,242.09","1,182.64","1.49B","4.62%"
"07/17/2022","1,185.22","1,144.05","1,201.06","1,133.37","1.50B","4.23%"
"07/10/2022","1,137.14","1,139.12","1,139.26","1,097.15","1.34B","-0.59%"
"07/03/2022","1,143.84","1,125.75","1,150.82","1,105.83","1.63B","0.47%"
"06/26/2022","1,138.51","1,158.10","1,176.91","1,110.09","1.96B","-1.20%"
"06/19/2022","1,152.32","1,106.38","1,152.32","1,094.49","2.08B","5.22%"
"06/12/2022","1,095.12","1,172.80","1,172.80","1,081.87","2.76B","-7.94%"
"06/05/2022","1,189.63","1,249.92","1,265.52","1,184.92","1.82B","-4.33%"
"05/29/2022","1,243.51","1,244.94","1,255.26","1,214.66","1.60B","-0.43%"
"05/22/2022","1,248.94","1,179.50","1,248.94","1,148.39","2.06B","6.57%"
"05/15/2022","1,171.99","1,187.78","1,220.91","1,147.06","2.11B","-1.46%"
"05/08/2022","1,189.33","1,197.81","1,197.81","1,138.91","2.16B","-1.61%"
"05/01/2022","1,208.75","1,215.12","1,269.75","1,196.06","2.07B","-0.49%"
"04/24/2022","1,214.72","1,254.55","1,265.33","1,211.95","1.92B","-3.63%"
"04/17/2022","1,260.43","1,282.70","1,326.60","1,259.36","1.76B","-1.86%"
"04/10/2022","1,284.28","1,270.06","1,300.82","1,264.05","1.42B","0.90%"
"04/03/2022","1,272.84","1,332.47","1,333.18","1,265.35","2.04B","-4.39%"
"03/27/2022","1,331.34","1,328.19","1,360.95","1,312.33","2.04B","0.02%"
"03/20/2022","1,331.02","1,340.17","1,348.95","1,311.02","1.63B","-0.58%"
"03/13/2022","1,338.72","1,285.69","1,339.55","1,264.36","2.31B","4.20%"
"03/06/2022","1,284.70","1,301.30","1,310.20","1,268.54","2.19B","-1.11%"
"02/27/2022","1,299.07","1,303.98","1,331.69","1,281.94","2.22B","-0.89%"
"02/20/2022","1,310.76","1,296.06","1,310.78","1,230.92","1.71B","0.99%"
"02/13/2022","1,297.92","1,301.88","1,333.53","1,289.78","1.85B","-0.25%"
"02/06/2022","1,301.19","1,283.04","1,333.90","1,279.81","1.82B","1.37%"
"01/30/2022","1,283.62","1,267.51","1,313.43","1,264.29","1.92B","0.92%"
"01/23/2022","1,271.86","1,273.77","1,322.94","1,231.92","1.95B","-0.81%"
"01/16/2022","1,282.27","1,384.70","1,384.70","1,282.27","1.38B","-7.64%"
"01/09/2022","1,388.27","1,381.46","1,400.14","1,359.63","1.56B","0.28%"
"01/02/2022","1,384.44","1,405.79","1,433.38","1,384.38","1.68B","-1.23%"
"12/26/2021","1,401.71","1,388.54","1,418.43","1,383.71","1.17B","1.03%"
"12/19/2021","1,387.37","1,333.80","1,391.35","1,303.98","1.22B","3.14%"
"12/12/2021","1,345.15","1,373.64","1,374.30","1,325.49","2.99B","-2.36%"
"12/05/2021","1,377.61","1,349.38","1,407.12","1,347.42","1.71B","2.67%"
"11/28/2021","1,341.81","1,386.98","1,396.75","1,322.59","2.07B","-2.51%"
"11/21/2021","1,376.33","1,428.57","1,451.42","1,356.43","1.36B","-3.30%"
"11/14/2021","1,423.25","1,458.04","1,462.65","1,422.07","1.73B","-2.22%"
"11/07/2021","1,455.51","1,468.41","1,477.45","1,442.85","1.56B","-0.70%"
"10/31/2021","1,465.74","1,380.64","1,470.67","1,380.64","2.13B","6.49%"
"10/24/2021","1,376.46","1,382.73","1,395.63","1,353.21","1.61B","-0.34%"
"10/17/2021","1,381.14","1,361.21","1,387.51","1,358.62","1.49B","1.26%"
"10/10/2021","1,363.91","1,360.44","1,389.84","1,340.42","1.35B","0.39%"
"10/03/2021","1,358.65","1,356.86","1,375.36","1,326.39","1.56B","0.09%"
"09/26/2021","1,357.37","1,347.95","1,379.85","1,331.47","1.83B","0.94%"
"09/19/2021","1,344.76","1,317.18","1,355.42","1,288.38","1.51B","1.01%"
"09/12/2021","1,331.35","1,332.70","1,342.79","1,314.29","2.13B","0.33%"
"09/05/2021","1,326.93","1,368.98","1,371.40","1,326.46","1.28B","-3.12%"
"08/29/2021","1,369.73","1,377.76","1,384.59","1,357.99","1.44B","-0.39%"
"08/22/2021","1,375.04","1,326.60","1,377.47","1,326.60","1.47B","4.09%"
"08/15/2021","1,320.96","1,344.47","1,347.96","1,292.37","1.55B","-2.14%"
"08/08/2021","1,349.91","1,352.45","1,367.82","1,341.57","1.30B","-0.47%"
"08/01/2021","1,356.27","1,345.02","1,366.05","1,321.11","1.63B","1.12%"
"07/25/2021","1,341.28","1,321.07","1,353.74","1,307.29","1.41B","1.72%"
"07/18/2021","1,318.56","1,285.68","1,338.77","1,261.29","1.69B","1.62%"
"07/11/2021","1,297.56","1,355.43","1,366.20","1,295.96","1.50B","-4.56%"
"07/04/2021","1,359.58","1,369.55","1,370.00","1,306.03","1.23B","-0.74%"
"06/27/2021","1,369.68","1,389.73","1,390.32","1,364.89","1.49B","-1.37%"
"06/20/2021","1,388.76","1,337.04","1,400.58","1,337.04","2.23B","4.37%"
"06/13/2021","1,330.67","1,397.83","1,402.18","1,328.49","2.13B","-4.70%"
"06/06/2021","1,396.25","1,385.42","1,417.45","1,381.92","2.13B","0.90%"
