"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2022","1,166.79","1,169.48","1,169.48","1,146.00","","-1.45%"
"Aug 01, 2022","1,183.98","1,232.17","1,297.83","1,183.98","","-4.51%"
"Jul 01, 2022","1,239.96","1,138.51","1,239.96","1,123.68","","9.93%"
"Jun 01, 2022","1,127.97","1,231.51","1,265.26","1,087.48","","-8.71%"
"May 01, 2022","1,235.61","1,223.46","1,267.21","1,147.42","","1.72%"
"Apr 01, 2022","1,214.72","1,331.34","1,331.34","1,214.72","","-7.87%"
"Mar 01, 2022","1,318.54","1,291.11","1,357.33","1,269.49","","0.18%"
"Feb 01, 2022","1,316.11","1,309.03","1,329.69","1,260.43","","1.30%"
"Jan 01, 2022","1,299.23","1,416.86","1,426.13","1,252.49","","-7.31%"
"Dec 01, 2021","1,401.71","1,322.62","1,408.81","1,322.62","","4.36%"
"Nov 01, 2021","1,343.15","1,410.24","1,466.02","1,343.15","","-2.42%"
"Oct 01, 2021","1,376.46","1,357.37","1,392.87","1,345.60","","3.36%"
"Sep 01, 2021","1,331.69","1,371.33","1,377.99","1,303.42","","-2.56%"
"Aug 01, 2021","1,366.73","1,334.95","1,375.04","1,300.54","","1.90%"
"Jul 01, 2021","1,341.28","1,383.77","1,383.77","1,273.00","","-2.44%"
"Jun 01, 2021","1,374.84","1,393.44","1,414.12","1,330.67","","0.21%"
"May 01, 2021","1,371.94","1,360.96","1,376.13","1,294.40","","1.96%"
"Apr 01, 2021","1,345.54","1,340.30","1,363.56","1,303.70","","1.99%"
"Mar 01, 2021","1,319.35","1,317.58","1,397.66","1,266.83","","3.19%"
"Feb 01, 2021","1,278.56","1,210.25","1,323.76","1,210.25","","7.56%"
"Jan 01, 2021","1,188.71","1,106.93","1,233.22","1,106.93","","6.24%"
"Dec 01, 2020","1,118.93","1,046.75","1,124.94","1,046.75","","8.16%"
"Nov 01, 2020","1,034.51","895.39","1,069.41","895.39","","18.01%"
"Oct 01, 2020","876.59","867.47","933.72","867.47","","2.49%"
"Sep 01, 2020","855.27","909.34","920.20","822.63","","-4.84%"
"Aug 01, 2020","898.79","876.19","924.17","876.19","","3.86%"
"Jul 01, 2020","865.38","819.82","877.44","799.86","","4.03%"
"Jun 01, 2020","831.89","811.00","917.81","788.69","","3.58%"
"May 01, 2020","803.11","740.02","837.98","700.59","","4.15%"
"Apr 01, 2020","771.11","635.66","802.96","622.35","","12.60%"
"Mar 01, 2020","684.84","907.89","916.47","595.67","","-22.60%"
"Feb 01, 2020","884.78","988.83","1,023.47","884.78","","-9.70%"
"Jan 01, 2020","979.84","1,020.83","1,041.03","979.84","","-4.05%"
"Dec 01, 2019","1,021.18","981.57","1,024.69","977.51","","2.79%"
"Nov 01, 2019","993.51","980.42","999.99","969.46","","2.92%"
"Oct 01, 2019","965.35","929.27","980.36","912.64","","1.86%"
"Sep 01, 2019","947.72","905.97","979.19","905.97","","3.15%"
"Aug 01, 2019","918.74","948.24","948.24","895.22","","-4.64%"
"Jul 01, 2019","963.40","954.83","967.70","938.25","","1.06%"
"Jun 01, 2019","953.25","894.52","953.25","894.52","","7.26%"
"May 01, 2019","888.72","966.76","989.32","888.72","","-8.85%"
"Apr 01, 2019","975.06","951.15","976.96","946.53","","3.81%"
"Mar 01, 2019","939.30","978.79","978.79","918.09","","-3.53%"
"Feb 01, 2019","973.71","933.58","987.87","933.58","","4.24%"
"Jan 01, 2019","934.12","934.12","934.12","934.12","","10.55%"
"Dec 01, 2018","844.94","844.94","844.94","844.94","","-12.25%"
"Nov 01, 2018","962.95","962.95","962.95","962.95","","1.37%"
"Oct 01, 2018","949.96","949.96","949.96","949.96","","-10.54%"
"Sep 01, 2018","1,061.92","1,061.92","1,061.92","1,061.92","","-3.32%"
"Aug 01, 2018","1,098.36","1,098.36","1,098.36","1,098.36","","4.72%"
"Jul 01, 2018","1,048.88","1,048.88","1,048.88","1,048.88","","3.10%"
"Jun 01, 2018","1,017.38","1,017.38","1,017.38","1,017.38","","0.98%"
"May 01, 2018","1,007.54","1,007.54","1,007.54","1,007.54","","6.34%"
"Apr 01, 2018","947.51","947.51","947.51","947.51","","0.96%"
"Mar 01, 2018","938.46","938.46","938.46","938.46","","1.86%"
"Feb 01, 2018","921.34","921.34","921.34","921.34","","-3.97%"
"Jan 01, 2018","959.39","959.39","959.39","959.39","","2.47%"
"Dec 01, 2017","936.26","936.26","936.26","936.26","","-0.71%"
"Nov 01, 2017","942.94","942.94","942.94","942.94","","3.39%"
"Oct 01, 2017","912.04","912.04","912.04","912.04","","0.89%"
"Sep 01, 2017","903.98","903.98","903.98","903.98","","7.56%"
"Aug 01, 2017","840.43","840.43","840.43","840.43","","-2.69%"
"Jul 01, 2017","863.62","863.62","863.62","863.62","","0.91%"
"Jun 01, 2017","855.85","855.85","855.85","855.85","","2.85%"
"May 01, 2017","832.17","832.17","832.17","832.17","","-2.25%"
"Apr 01, 2017","851.36","851.36","851.36","851.36","","0.85%"
"Mar 01, 2017","844.17","844.17","844.17","844.17","","-0.27%"
"Feb 01, 2017","846.49","846.49","846.49","846.49","","1.47%"
"Jan 01, 2017","834.20","834.20","834.20","834.20","","-0.45%"
"Dec 01, 2016","837.96","837.96","837.96","837.96","","3.20%"
"Nov 01, 2016","812.02","812.02","812.02","812.02","","12.38%"
"Oct 01, 2016","722.59","722.59","722.59","722.59","","-4.53%"
"Sep 01, 2016","756.90","756.90","756.90","756.90","","0.51%"
"Aug 01, 2016","753.07","753.07","753.07","753.07","","1.22%"
"Jul 01, 2016","743.98","743.98","743.98","743.98","","5.03%"
"Jun 01, 2016","708.36","708.36","708.36","708.36","","0.46%"
"May 01, 2016","705.14","705.14","705.14","705.14","","1.52%"
"Apr 01, 2016","694.56","694.56","694.56","694.56","","1.11%"
"Mar 01, 2016","686.97","686.97","686.97","686.97","","8.01%"
"Feb 01, 2016","636.03","636.03","636.03","636.03","","0.97%"
"Jan 01, 2016","629.95","629.95","629.95","629.95","","-6.22%"
"Dec 01, 2015","671.74","671.74","671.74","671.74","","-4.95%"
"Nov 01, 2015","706.75","706.75","706.75","706.75","","2.52%"
"Oct 01, 2015","689.36","689.36","689.36","689.36","","6.02%"
"Sep 01, 2015","650.19","650.19","650.19","650.19","","-3.66%"
"Aug 01, 2015","674.86","674.86","674.86","674.86","","-5.30%"
"Jul 01, 2015","712.64","712.64","712.64","712.64","","-0.91%"
"Jun 01, 2015","719.20","719.20","719.20","719.20","","0.89%"
"May 01, 2015","712.88","712.88","712.88","712.88","","1.41%"
"Apr 01, 2015","702.97","702.97","702.97","702.97","","-2.39%"
"Mar 01, 2015","720.20","720.20","720.20","720.20","","1.44%"
"Feb 01, 2015","709.98","709.98","709.98","709.98","","5.91%"
"Jan 01, 2015","670.38","670.38","670.38","670.38","","-3.55%"
"Dec 01, 2014","695.08","695.08","695.08","695.08","","2.70%"
"Nov 01, 2014","676.82","676.82","676.82","676.82","","-0.39%"
"Oct 01, 2014","679.50","679.50","679.50","679.50","","7.01%"
"Sep 01, 2014","634.99","634.99","634.99","634.99","","-5.49%"
"Aug 01, 2014","671.88","671.88","671.88","671.88","","4.18%"
"Jul 01, 2014","644.93","644.93","644.93","644.93","","-5.56%"
"Jun 01, 2014","682.87","682.87","682.87","682.87","","4.57%"
"May 01, 2014","653.01","653.01","653.01","653.01","","0.16%"
"Apr 01, 2014","651.97","651.97","651.97","651.97","","-2.85%"
"Mar 01, 2014","671.12","671.12","671.12","671.12","","0.57%"
"Feb 01, 2014","667.33","667.33","667.33","667.33","","4.35%"
"Jan 01, 2014","639.51","639.51","639.51","639.51","","-3.91%"
"Dec 01, 2013","665.54","665.54","665.54","665.54","","1.32%"
"Nov 01, 2013","656.85","656.85","656.85","656.85","","4.38%"
"Oct 01, 2013","629.27","629.27","629.27","629.27","","3.54%"
"Sep 01, 2013","607.76","607.76","607.76","607.76","","6.10%"
"Aug 01, 2013","572.82","572.82","572.82","572.82","","-2.54%"
"Jul 01, 2013","587.76","587.76","587.76","587.76","","6.76%"
"Jun 01, 2013","550.52","550.52","550.52","550.52","","-0.26%"
"May 01, 2013","551.98","551.98","551.98","551.98","","4.23%"
"Apr 01, 2013","529.60","529.60","529.60","529.60","","-0.34%"
"Mar 01, 2013","531.38","531.38","531.38","531.38","","4.10%"
"Feb 01, 2013","510.43","510.43","510.43","510.43","","1.31%"
"Jan 01, 2013","503.84","503.84","503.84","503.84","","5.72%"
"Dec 01, 2012","476.57","476.56","476.56","476.56","","3.12%"
"Nov 01, 2012","462.15","462.15","462.15","462.15","","0.87%"
"Oct 01, 2012","458.15","458.15","458.15","458.15","","-35.76%"
